state,total_orders,avg_delay_days,avg_actual_delivery_days,late_orders,late_order_pct,avg_review_score
AL,397,-8.04,24.54,96,24.2,3.84
MA,717,-8.96,21.52,141,19.7,3.84
SE,335,-9.33,21.52,51,15.2,3.91
ES,1995,-9.8,15.8,245,12.3,4.08
BA,3256,-10.09,19.36,461,14.2,3.93
CE,1279,-10.12,21.27,197,15.4,3.94
MS,701,-10.35,15.63,82,11.7,4.17
SP,40494,-10.39,8.76,2393,5.9,4.25
PI,476,-10.62,19.45,76,16.0,4.0
SC,3546,-10.78,14.98,348,9.8,4.13
RJ,12350,-11.05,15.32,1674,13.6,3.96
DF,2080,-11.31,13.0,149,7.2,4.13
TO,274,-11.44,17.66,35,12.8,4.15
GO,1957,-11.5,15.6,162,8.3,4.1
MG,11354,-12.55,12.01,640,5.6,4.19
PR,4923,-12.61,12.0,248,5.0,4.24
PB,517,-12.62,20.4,57,11.0,4.08
PE,1593,-12.67,18.42,172,10.8,4.09
RN,474,-12.97,19.26,51,10.8,4.15
RS,5344,-13.2,15.32,386,7.2,4.19
PA,946,-13.37,23.78,117,12.4,3.91
MT,886,-13.72,18.05,60,6.8,4.15
RR,41,-16.59,29.39,5,12.2,3.9
AM,145,-18.84,26.38,6,4.1,4.22
AP,67,-19.06,27.19,3,4.5,4.24
RO,243,-19.4,19.37,7,2.9,4.17
AC,80,-20.08,21.04,3,3.8,4.09
