category,total_orders,delivered,cancelled,problematic,cancel_rate_pct,avg_price,avg_review_score
dvds_blu_ray,59,61,2,2,3.39,93.74,4.08
construction_tools_safety,167,183,5,5,2.99,208.99,3.84
costruction_tools_garden,194,234,4,4,2.06,107.37,4.05
musical_instruments,628,652,11,11,1.75,281.24,4.15
fixed_telephony,217,256,3,3,1.38,224.99,3.68
books_general_interest,512,537,7,7,1.37,84.73,4.45
home_appliances_2,234,233,3,3,1.28,473.27,4.14
small_appliances,630,662,8,8,1.27,280.49,4.15
kitchen_dining_laundry_garden_furniture,248,274,3,3,1.21,164.74,3.96
consoles_games,1062,1090,10,10,0.94,138.84,4.02
fashion_male_clothing,112,125,1,1,0.89,81.8,3.64
food_drink,227,271,2,2,0.88,54.54,4.32
toys,3886,4038,34,34,0.87,117.52,4.16
housewares,5884,6819,49,49,0.83,90.79,4.06
fashion_shoes,240,260,2,2,0.83,89.69,4.23
construction_tools_lights,244,302,2,2,0.82,135.44,4.05
auto,3897,4158,32,33,0.82,139.65,4.07
air_conditioning,253,289,2,2,0.79,185.27,3.97
christmas_supplies,128,150,1,1,0.78,57.52,4.02
computers_accessories,6689,7708,46,46,0.69,116.5,3.93
baby,2885,2990,20,22,0.69,134.11,4.01
sports_leisure,7720,8489,51,51,0.66,114.21,4.11
furniture_decor,6449,8239,37,37,0.57,87.5,3.9
garden_tools,3518,4282,19,19,0.54,111.54,4.04
stationery,2311,2474,12,12,0.52,91.6,4.19
art,202,197,1,1,0.5,115.8,3.94
perfumery,3162,3355,15,17,0.47,116.51,4.16
furniture_living_room,422,499,2,2,0.47,136.94,3.9
cool_stuff,3632,3727,16,17,0.44,167.44,4.15
telephony,4199,4434,18,18,0.43,71.17,3.95
electronics,2550,2730,11,12,0.43,57.94,4.04
health_beauty,8836,9519,36,36,0.41,129.86,4.14
luggage_accessories,1034,1077,4,4,0.39,128.6,4.32
watches_gifts,5624,5869,21,21,0.37,200.98,4.02
market_place,280,305,1,1,0.36,91.25,4.02
drinks,297,365,1,1,0.34,58.76,4.05
fashion_bags_accessories,1864,2004,6,6,0.32,74.95,4.14
pet_shop,1710,1926,5,5,0.29,110.1,4.19
audio,350,363,1,1,0.29,139.01,3.83
construction_tools_construction,748,918,2,2,0.27,156.29,4.05
home_appliances,764,792,2,2,0.26,102.84,4.17
food,450,499,1,1,0.22,57.63,4.22
home_construction,490,597,1,1,0.2,137.53,3.94
bed_bath_table,9417,11107,18,18,0.19,93.25,3.9
office_furniture,1273,1678,1,1,0.08,161.8,3.49
tablets_printing_image,79,83,0,0,0.0,90.7,4.12
small_appliances_home_oven_and_coffee,75,73,0,0,0.0,624.29,4.3
signaling_and_security,140,197,0,0,0.0,108.09,4.09
industry_commerce_and_business,235,266,0,0,0.0,147.75,4.1
home_confort,397,432,0,0,0.0,134.62,3.83
furniture_bedroom,95,103,0,0,0.0,184.35,4.12
fashion_underwear_beach,121,127,0,0,0.0,72.84,3.98
costruction_tools_tools,97,103,0,0,0.0,154.41,4.44
computers,181,199,0,0,0.0,1098.34,4.17
cine_photo,65,71,0,0,0.0,95.2,4.21
books_technical,260,265,0,0,0.0,71.19,4.37
books_imported,53,57,0,0,0.0,77.33,4.4
agro_industry_and_commerce,182,206,0,0,0.0,342.12,4.0
