seller_state,seller_count,total_orders,total_revenue,total_freight,profit_proxy,avg_freight_per_item,freight_pct,avg_delivery_days,avg_review_score
MA,1,389,36220.97,12124.73,24096.24,30.09,33.5,17.7,4.03
MT,4,136,17007.82,4615.85,12391.97,32.05,27.1,14.7,4.19
ES,22,310,46941.64,11911.85,35029.79,32.72,25.4,12.9,4.07
CE,12,87,19517.84,4206.21,15311.63,46.74,21.6,17.9,4.28
MG,236,7733,980996.22,207428.56,773567.66,23.99,21.1,12.8,4.16
SE,2,9,1606.2,318.49,1287.71,31.85,19.8,12.7,3.9
DF,30,808,94912.19,18094.9,76817.29,20.45,19.1,12.5,4.07
GO,39,451,64886.49,12309.99,52576.5,24.18,19.0,12.8,4.31
PI,1,11,2383.0,408.55,1974.45,37.14,17.1,13.8,4.36
SP,1769,68635,8547984.6,1455492.44,7092492.16,18.41,17.0,12.3,4.05
SC,184,3603,615030.19,104456.3,510573.89,26.02,17.0,13.6,4.13
PR,335,7512,1240516.38,193475.89,1047040.49,22.59,15.6,13.4,4.13
RS,125,1962,375865.84,56628.45,319237.39,25.98,15.1,11.6,4.25
RO,2,14,4762.2,712.78,4049.42,50.91,15.0,17.4,3.86
MS,5,49,8551.69,1198.96,7352.73,23.98,14.0,12.3,4.47
PE,9,403,91164.15,12321.95,78842.2,27.69,13.5,12.9,4.15
RN,5,51,9992.6,1304.11,8688.49,23.29,13.1,13.0,4.27
PA,1,8,1238.0,155.11,1082.89,19.39,12.5,13.4,4.5
RJ,163,4227,823390.38,91711.03,731679.35,19.5,11.1,12.0,4.17
PB,6,35,16395.5,1448.93,14946.57,39.16,8.8,12.5,3.94
BA,18,550,278046.51,19292.34,258754.17,30.82,6.9,13.8,4.16
AM,1,3,1177.0,81.8,1095.2,27.27,6.9,47.8,2.33
